time,P,I,D,ds,left speed,right speed
154,93330.000000,0.000846,0.000000,11320.000840,11320.000840,11320.000840
155,95330.000000,0.000853,0.000000,11350.000847,11350.000847,11350.000847
156,85670.000000,0.000859,0.000000,10550.000854,10550.000854,10550.000854
157,73300.000000,0.000865,0.000000,18550.000861,18550.000861,18550.000861
158,98730.000000,0.000874,0.000000,33030.000867,33030.000867,33030.000867
159,130860.000000,0.000885,0.000000,51440.000877,51440.000877,51440.000877
160,106990.000000,0.000894,0.000000,33960.000888,33960.000888,33960.000888
161,124460.000000,0.000904,0.000000,31100.000896,31100.000896,31100.000896
162,121010.000000,0.000914,0.000000,28350.000906,28350.000906,28350.000906
163,113690.000000,0.000923,0.000000,30300.000916,30300.000916,30300.000916
164,156350.000000,0.000938,0.000000,76390.000928,76390.000928,76390.000928
165,168830.000000,0.000951,0.000000,31370.000940,31370.000940,31370.000940
166,202410.000000,0.000965,0.000000,21650.000952,21650.000952,21650.000952
167,202310.000000,0.000979,0.000000,17940.000966,17940.000966,17940.000966
168,196880.000000,0.000993,0.000000,19300.000981,19300.000981,19300.000981
169,181330.000000,0.001006,0.000000,13530.000994,13530.000994,13530.000994
170,201310.000000,0.001020,0.000000,17320.001007,17320.001007,17320.001007
171,196330.000000,0.001033,0.000000,6660.001020,6660.001020,6660.001020
172,177500.000000,0.001044,0.000000,6190.001033,6190.001033,6190.001033
173,193120.000000,0.001057,0.000000,5990.001045,5990.001045,5990.001045
174,186690.000000,0.001070,0.000000,8740.001058,8740.001058,8740.001058
175,170150.000000,0.001081,0.000000,3250.001070,3250.001070,3250.001070
176,173270.000000,0.001092,0.000000,1530.001081,1530.001081,1530.001081
177,177410.000000,0.001103,0.000000,1690.001092,1690.001092,1690.001092
178,155560.000000,0.001114,0.000000,4960.001104,4960.001104,4960.001104
179,156660.000000,0.001124,0.000000,3990.001114,3990.001114,3990.001114
180,156210.000000,0.001134,0.000000,2780.001124,2780.001124,2780.001124
181,138700.000000,0.001143,0.000000,7250.001135,7250.001135,7250.001135
182,131040.000000,0.001152,0.000000,8700.001144,8700.001144,8700.001144
183,154540.000000,0.001163,0.000000,5550.001153,5550.001153,5550.001153
184,117320.000000,0.001171,0.000000,8930.001163,8930.001163,8930.001163
185,133830.000000,0.001180,0.000000,7450.001171,7450.001171,7450.001171
186,119720.000000,0.001188,0.000000,10710.001180,10710.001180,10710.001180
187,113030.000000,0.001196,0.000000,7800.001189,7800.001189,7800.001189
188,128970.000000,0.001204,0.000000,3370.001196,3370.001196,3370.001196
189,77920.000000,0.001210,0.000000,8080.001205,8080.001205,8080.001205
190,79040.000000,0.001215,0.000000,6100.001210,6100.001210,6100.001210
191,78690.000000,0.001221,0.000000,4450.001216,4450.001216,4450.001216
192,80140.000000,0.001226,0.000000,4640.001221,4640.001221,4640.001221
193,74830.000000,0.001231,0.000000,5460.001226,5460.001226,5460.001226
194,66220.000000,0.001236,0.000000,3810.001231,3810.001231,3810.001231
195,106300.000000,0.001243,0.000000,3870.001236,3870.001236,3870.001236
196,108800.000000,0.001250,0.000000,3780.001243,3780.001243,3780.001243
197,116510.000000,0.001257,0.000000,1940.001250,1940.001250,1940.001250
198,83510.000000,0.001263,0.000000,5300.001258,5300.001258,5300.001258
199,79770.000000,0.001268,0.000000,2420.001263,2420.001263,2420.001263
200,75730.000000,0.001273,0.000000,2470.001269,2470.001269,2470.001269
201,57380.000000,0.001277,0.000000,3090.001274,3090.001274,3090.001274
202,98030.000000,0.001284,0.000000,4090.001278,4090.001278,4090.001278
203,94690.000000,0.001290,0.000000,3290.001284,3290.001284,3290.001284
204,94660.000000,0.001296,0.000000,5230.001290,5230.001290,5230.001290
205,100090.000000,0.001303,0.000000,5050.001297,5050.001297,5050.001297
206,104190.000000,0.001310,0.000000,4200.001303,4200.001303,4200.001303
207,106410.000000,0.001317,0.000000,3200.001310,3200.001310,3200.001310
208,113510.000000,0.001325,0.000000,1490.001317,1490.001317,1490.001317
209,77480.000000,0.001330,0.000000,1970.001325,1970.001325,1970.001325
210,74460.000000,0.001335,0.000000,4830.001330,4830.001330,4830.001330
211,73460.000000,0.001340,0.000000,3620.001335,3620.001335,3620.001335
212,60410.000000,0.001344,0.000000,3280.001340,3280.001340,3280.001340
213,91670.000000,0.001350,0.000000,1160.001344,1160.001344,1160.001344
214,108800.000000,0.001357,0.000000,4310.001350,4310.001350,4310.001350
215,105680.000000,0.001364,0.000000,4420.001357,4420.001357,4420.001357
216,98290.000000,0.001370,0.000000,1980.001364,1980.001364,1980.001364
217,106640.000000,0.001377,0.000000,3340.001371,3340.001371,3340.001371
218,121410.000000,0.001385,0.000000,1620.001377,1620.001377,1620.001377
219,81040.000000,0.001391,0.000000,3910.001385,3910.001385,3910.001385
220,68350.000000,0.001395,0.000000,4580.001391,4580.001391,4580.001391
221,91060.000000,0.001401,0.000000,5180.001396,5180.001396,5180.001396
222,70250.000000,0.001406,0.000000,3170.001402,3170.001402,3170.001402
223,79260.000000,0.001412,0.000000,3750.001406,3750.001406,3750.001406
224,74390.000000,0.001417,0.000000,5180.001412,5180.001412,5180.001412
225,86620.000000,0.001422,0.000000,3590.001417,3590.001417,3590.001417
226,74800.000000,0.001427,0.000000,2310.001423,2310.001423,2310.001423
227,80250.000000,0.001433,0.000000,1730.001427,1730.001427,1730.001427
228,76750.000000,0.001438,0.000000,2920.001433,2920.001433,2920.001433
229,76050.000000,0.001443,0.000000,3010.001438,3010.001438,3010.001438
230,74720.000000,0.001448,0.000000,870.001443,870.001443,870.001443
231,81910.000000,0.001453,0.000000,4560.001448,4560.001448,4560.001448
232,70620.000000,0.001458,0.000000,3610.001453,3610.001453,3610.001453
233,106240.000000,0.001465,0.000000,2720.001458,2720.001458,2720.001458
234,116780.000000,0.001473,0.000000,4030.001465,4030.001465,4030.001465
235,92780.000000,0.001479,0.000000,3820.001473,3820.001473,3820.001473
236,123950.000000,0.001487,0.000000,4050.001479,4050.001479,4050.001479
237,109270.000000,0.001494,0.000000,3240.001487,3240.001487,3240.001487
238,105380.000000,0.001501,0.000000,2790.001494,2790.001494,2790.001494
239,103350.000000,0.001508,0.000000,4940.001501,4940.001501,4940.001501
240,102760.000000,0.001515,0.000000,1790.001508,1790.001508,1790.001508
241,101940.000000,0.001521,0.000000,2270.001515,2270.001515,2270.001515
242,101270.000000,0.001528,0.000000,2020.001521,2020.001521,2020.001521
243,104880.000000,0.001535,0.000000,1840.001528,1840.001528,1840.001528
244,108050.000000,0.001542,0.000000,3910.001535,3910.001535,3910.001535
245,105340.000000,0.001549,0.000000,1030.001542,1030.001542,1030.001542
246,104010.000000,0.001556,0.000000,3940.001549,3940.001549,3940.001549
247,108520.000000,0.001563,0.000000,2280.001556,2280.001556,2280.001556
248,104680.000000,0.001570,0.000000,2610.001563,2610.001563,2610.001563
249,99130.000000,0.001576,0.000000,3940.001570,3940.001570,3940.001570
250,96820.000000,0.001583,0.000000,5050.001577,5050.001577,5050.001577
251,102240.000000,0.001590,0.000000,3670.001583,3670.001583,3670.001583
252,108880.000000,0.001597,0.000000,3620.001590,3620.001590,3620.001590
253,104850.000000,0.001604,0.000000,2160.001597,2160.001597,2160.001597
254,105950.000000,0.001611,0.000000,3300.001604,3300.001604,3300.001604
255,114630.000000,0.001618,0.000000,3900.001611,3900.001611,3900.001611
256,84940.000000,0.001624,0.000000,2370.001618,2370.001618,2370.001618
257,72970.000000,0.001629,0.000000,2700.001624,2700.001624,2700.001624
258,96410.000000,0.001635,0.000000,5610.001629,5610.001629,5610.001629
259,73170.000000,0.001640,0.000000,3210.001635,3210.001635,3210.001635
260,85290.000000,0.001646,0.000000,3810.001640,3810.001640,3810.001640
261,79610.000000,0.001651,0.000000,4150.001646,4150.001646,4150.001646
262,71810.000000,0.001656,0.000000,2970.001651,2970.001651,2970.001651
263,104800.000000,0.001663,0.000000,4070.001656,4070.001656,4070.001656
264,103550.000000,0.001670,0.000000,4770.001663,4770.001663,4770.001663
265,109880.000000,0.001677,0.000000,5180.001670,5180.001670,5180.001670
266,72730.000000,0.001682,0.000000,5250.001677,5250.001677,5250.001677
267,106130.000000,0.001689,0.000000,4880.001682,4880.001682,4880.001682
268,114190.000000,0.001697,0.000000,3970.001689,3970.001689,3970.001689
269,98430.000000,0.001703,0.000000,3830.001697,3830.001697,3830.001697
270,84300.000000,0.001709,0.000000,2080.001703,2080.001703,2080.001703
271,79560.000000,0.001714,0.000000,4740.001709,4740.001709,4740.001709
272,85760.000000,0.001720,0.000000,2710.001714,2710.001714,2710.001714
273,69160.000000,0.001725,0.000000,3460.001720,3460.001720,3460.001720
274,118250.000000,0.001732,0.000000,3800.001725,3800.001725,3800.001725
275,81290.000000,0.001738,0.000000,2610.001733,2610.001733,2610.001733
276,84410.000000,0.001743,0.000000,4020.001738,4020.001738,4020.001738
277,83260.000000,0.001749,0.000000,4640.001744,4640.001744,4640.001744
278,86480.000000,0.001755,0.000000,2780.001749,2780.001749,2780.001749
279,80870.000000,0.001760,0.000000,3910.001755,3910.001755,3910.001755
280,79170.000000,0.001765,0.000000,4400.001760,4400.001760,4400.001760
281,89230.000000,0.001771,0.000000,660.001766,660.001766,660.001766
282,89940.000000,0.001777,0.000000,4190.001772,4190.001772,4190.001772
283,85520.000000,0.001783,0.000000,3510.001777,3510.001777,3510.001777
284,88380.000000,0.001789,0.000000,3040.001783,3040.001783,3040.001783
285,86330.000000,0.001795,0.000000,3260.001789,3260.001789,3260.001789
286,79970.000000,0.001800,0.000000,3340.001795,3340.001795,3340.001795
287,80780.000000,0.001805,0.000000,1650.001800,1650.001800,1650.001800
288,82080.000000,0.001811,0.000000,5690.001806,5690.001806,5690.001806
289,83500.000000,0.001816,0.000000,2220.001811,2220.001811,2220.001811
290,86920.000000,0.001822,0.000000,3430.001816,3430.001816,3430.001816
291,77420.000000,0.001827,0.000000,3660.001822,3660.001822,3660.001822
292,79760.000000,0.001833,0.000000,2780.001827,2780.001827,2780.001827
293,86330.000000,0.001838,0.000000,2460.001833,2460.001833,2460.001833
